route_name,start_time,end_time,runtime,in/outbound,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8
North_Texan,11:12,11:26,0:14,in,11:14,,,,,,,
North_Texan,11:12,11:26,0:14,out,11:26,,,,,,,
North_Texan,11:40,11:54,0:14,in,11:42,,,,,,,
North_Texan,11:40,11:54,0:14,out,11:54,,,,,,,
North_Texan,12:08,12:22,0:14,in,12:10,,,,,,,
North_Texan,12:08,12:22,0:14,out,12:22,,,,,,,
North_Texan,12:36,12:50,0:14,in,12:38,,,,,,,
North_Texan,12:36,12:50,0:14,out,12:50,,,,,,,
North_Texan,1:04,1:18,0:14,in,1:06,,,,,,,
North_Texan,1:04,1:18,0:14,out,1:18,,,,,,,
North_Texan,1:32,1:46,0:14,in,1:34,,,,,,,
North_Texan,1:32,1:46,0:14,out,1:46,,,,,,,
North_Texan,2:00,2:14,0:14,in,2:02,,,,,,,
North_Texan,2:00,2:14,0:14,out,2:14,,,,,,,
North_Texan,2:28,2:42,0:14,in,2:30,,,,,,,
North_Texan,2:28,2:42,0:14,out,2:42,,,,,,,
North_Texan,2:56,3:10,0:14,in,2:57,,,,,,,
North_Texan,2:56,3:10,0:14,out,3:10,,,,,,,
North_Texan,3:24,3:38,0:14,in,3:26,,,,,,,
North_Texan,3:24,3:38,0:14,out,3:38,,,,,,,
North_Texan,3:52,4:06,0:14,in,3:54,,,,,,,
North_Texan,3:52,4:06,0:14,out,4:06,,,,,,,
North_Texan,4:20,4:34,0:14,in,4:22,,,,,,,
North_Texan,4:20,4:34,0:14,out,4:34,,,,,,,
North_Texan,4:48,5:02,0:14,in,4:51,,,,,,,
North_Texan,4:48,5:02,0:14,out,5:02,,,,,,,
North_Texan,5:16,5:30,0:14,in,5:18,,,,,,,
North_Texan,5:16,5:30,0:14,out,,,,,,,,
Mean_Green,7:00,7:13,0:13,in,7:09,7:12,7:13,,,,,
Mean_Green,7:00,7:13,0:13,out,7:00,7:03,7:04,7:05,,,,
Mean_Green,7:25,7:38,0:13,in,7:34,7:37,7:38,,,,,
Mean_Green,7:25,7:38,0:13,out,7:25,7:28,7:29,7:30,,,,
